time,latitude,longitude,depth,mag,place
1964-01-26,-16.402,-71.744,117.7,6.5,southern Peru
1964-07-25,-27.802,-71.044,30.0,6.5,"Atacama, Chile"
1964-08-05,-41.121,-74.871,15.0,6.4,"offshore Los Lagos, Chile"
1964-08-18,-26.430,-71.539,15.0,6.7,"offshore Atacama, Chile"
1964-12-09,-27.403,-63.228,582.7,6.3,"Santiago Del Estero, Argentina"
1965-02-23,-25.633,-70.679,35.0,7.0,"near the coast of Antofagasta, Chile"
1965-03-22,-31.974,-71.573,48.8,6.2,"offshore Coquimbo, Chile"
1965-03-28,-32.522,-71.233,70.0,7.4,"Valparaiso, Chile"
1965-08-20,-18.954,-68.820,124.0,6.7,"Oruro, Bolivia"
1965-11-28,-45.847,-72.958,25.0,6.2,"Aisen, Chile"
1966-04-10,-31.452,-71.049,60.5,6.1,"Coquimbo, Chile"
1966-04-12,-38.231,-72.695,35.0,6.3,"Araucania, Chile"
1966-06-07,-14.828,-75.835,20.0,6.2,near the coast of central Peru
1966-11-10,-31.973,-68.301,113.0,6.1,"San Juan, Argentina"
1966-12-20,-26.123,-63.152,578.0,6.3,"Santiago Del Estero, Argentina"
1966-12-28,-25.494,-70.550,25.0,7.7,"Antofagasta, Chile"
1967-01-17,-27.335,-63.204,590.9,6.2,"Santiago Del Estero, Argentina"
1967-05-11,-20.304,-68.821,109.4,6.1,"Tarapaca, Chile"
1967-06-21,-25.076,-70.394,35.0,6.2,"Antofagasta, Chile"
1967-09-09,-27.623,-63.230,580.4,6.7,"Santiago Del Estero, Argentina"
1967-09-26,-30.086,-71.446,50.0,6.2,"offshore Coquimbo, Chile"
1967-11-15,-28.865,-71.369,34.8,6.3,"Atacama, Chile"
1967-12-21,-21.865,-69.939,45.0,7.3,"Antofagasta, Chile"
1967-12-25,-21.580,-70.299,46.4,6.3,"near the coast of Antofagasta, Chile"
1967-12-27,-21.362,-68.311,114.7,6.7,"Antofagasta, Chile"
1968-01-06,-27.845,-70.873,30.0,6.4,"Atacama, Chile"
1968-08-23,-21.989,-63.554,533.6,6.3,"Tarija, Bolivia"
1968-09-28,-13.235,-76.279,65.0,6.1,near the coast of central Peru
1969-04-26,-30.663,-71.569,35.0,6.0,"Coquimbo, Chile"
1969-04-26,-30.576,-71.249,35.0,6.2,"Coquimbo, Chile"
1969-07-19,-17.334,-72.303,56.7,6.4,near the coast of southern Peru
1969-11-13,-27.837,-71.794,21.4,6.0,"offshore Atacama, Chile"
1970-03-15,-29.701,-69.397,116.7,6.0,"San Juan, Argentina"
1970-06-11,-24.418,-68.413,110.6,6.6,"Antofagasta, Chile"
1970-06-17,-16.015,-71.724,108.6,6.0,southern Peru
1970-06-19,-22.261,-70.276,60.0,6.5,"near the coast of Antofagasta, Chile"
1970-11-28,-21.019,-69.860,45.2,6.0,"Tarapaca, Chile"
1970-12-04,-23.222,-69.988,39.2,6.5,"Antofagasta, Chile"
